track_id,provenance,second_start,second_end,rms_mean_dbfs,rms_peak_dbfs,spectral_centroid_hz,low_20_180_ratio,low_mid_180_2000_ratio,high_2000_10000_ratio,relative_dynamics_band
001,official main,58,59,-19.38,-4.9,1513.6,0.3399,0.6579,0.0019,p
001,official main,59,60,-17.42,-6.85,1064.4,0.7035,0.2955,0.001,mp
001,official main,60,61,-18.69,-5.19,1048.5,0.8251,0.1744,0.0002,p
001,official main,61,62,-16.7,-4.17,1314.3,0.1808,0.816,0.0024,mp
001,official main,62,63,-14.88,-5.38,681.7,0.7555,0.2438,0.0003,mf
001,official main,63,64,-18.05,-5.98,786.7,0.6936,0.306,0.0002,mp
001,official main,64,65,-16.21,-4.53,968.8,0.5018,0.4964,0.0016,mp
001,official main,65,66,-17.58,-3.82,1364.2,0.3199,0.6756,0.0042,mp
001,official main,66,67,-15.47,-2.54,1087.0,0.7789,0.2198,0.0008,mf
001,official main,67,68,-14.36,-3.45,640.7,0.6373,0.3621,0.0002,f
001,official main,68,69,-13.6,-4.13,688.6,0.7205,0.2786,0.0005,f
001,official main,69,70,-15.31,-4.02,778.1,0.6901,0.3088,0.0008,mf
001,official main,70,71,-15.78,-2.97,694.7,0.5858,0.4137,0.0003,mf
001,official main,71,72,-14.45,-3.52,739.4,0.7627,0.2368,0.0003,mf
001,official main,72,73,-14.77,-4.44,844.0,0.5865,0.4126,0.0006,mf
001,official main,73,74,-13.93,-5.15,725.7,0.8934,0.1058,0.0003,f
001,official main,74,75,-14.75,-3.81,574.6,0.9533,0.0461,0.0001,mf
001,official main,75,76,-14.5,-2.92,1037.0,0.3823,0.6151,0.0022,mf
